entry_price,exit_price,lotes,entry_time,exit_time,pnl,pnl_pips,reason
0.65989,0.66151,0.04534,16717,16719,0.0734,16.19077,take_profit
0.66007,0.66166,0.04996,16737,16760,0.07964,15.93866,take_profit
0.66158,0.66318,0.04996,16792,16797,0.07986,15.98404,take_profit
0.66016,0.66176,0.04992,16808,16810,0.08009,16.04139,take_profit
0.66137,0.66295,0.04988,16838,16859,0.07872,15.78324,take_profit
0.66199,0.66359,0.04994,16892,16900,0.07974,15.96915,take_profit
0.66442,0.66603,0.04992,16901,16907,0.08044,16.1126,take_profit
0.66563,0.66506,0.04992,16908,16951,-0.02832,-5.67287,stop_loss
0.66531,0.66447,0.04904,16953,16955,-0.04134,-8.42923,stop_loss
0.66412,0.66574,0.04768,16956,16960,0.07705,16.15961,take_profit
0.66508,0.66423,0.04998,16970,16977,-0.04224,-8.45076,stop_loss
0.66578,0.66493,0.04952,16978,16985,-0.04199,-8.48109,stop_loss
0.66515,0.66678,0.04583,16986,17000,0.07449,16.25249,take_profit
0.66764,0.66678,0.04629,17002,17030,-0.03958,-8.55064,stop_loss
0.66687,0.66744,0.04944,17031,17051,0.02818,5.7,model_exit
